gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
ARRB1,6.23,6.741,,,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),Notch Signaling,"Chemical carcinogenesis;Chemokine signaling pathway;Dopaminergic synapse;Endocytosis;GnRH secretion;Hedgehog signaling pathway;MAPK signaling pathway;Morphine addiction;Olfactory transduction;Parathyroid hormone synthesis, secretion and action;Relaxin signaling pathway","Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948;Activation Of SMO R-HSA-5635838;Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Clathrin-mediated Endocytosis R-HSA-8856828;Deubiquitination R-HSA-5688426;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;Golgi Associated Vesicle Biogenesis R-HSA-432722;Hedgehog On State R-HSA-5632684;Hemostasis R-HSA-109582;Lysosome Vesicle Biogenesis R-HSA-432720;MAP2K And MAPK Activation R-HSA-5674135;MAPK Family Signaling Cascades R-HSA-5683057;MAPK1/MAPK3 Signaling R-HSA-5684996;Membrane Trafficking R-HSA-199991;Metabolism Of Proteins R-HSA-392499;Oncogenic MAPK Signaling R-HSA-6802957;Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955;Platelet Activation, Signaling And Aggregation R-HSA-76002;Post-translational Protein Modification R-HSA-597592;RAF/MAP Kinase Cascade R-HSA-5673001;Signal Transduction R-HSA-162582;Signaling By BRAF And RAF1 Fusions R-HSA-6802952;Signaling By GPCR R-HSA-372790;Signaling By Hedgehog R-HSA-5358351;Signaling By NOTCH R-HSA-157118;Signaling By NOTCH1 R-HSA-1980143;Signaling By RAF1 Mutants R-HSA-9656223;Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948;Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926;Ub-specific Processing Proteases R-HSA-5689880;Vesicle-mediated Transport R-HSA-5653656;trans-Golgi Network Vesicle Budding R-HSA-199992"
ART1,0.014,,,,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1,,,
ART3,0.82,0.104,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;chondrocyte,,Ecto-ADP-ribosyltransferase 3,Spermatogenesis,,Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592
ART4,0.322,0.321,,,Ecto-ADP-ribosyltransferase 4,,,Metabolism Of Proteins R-HSA-392499;Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125;Post-translational Protein Modification R-HSA-597592
ASCC2,5.019,5.787,,,Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100),,,DNA Damage Reversal R-HSA-73942;DNA Repair R-HSA-73894;Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
ASCC3,6.651,6.108,,,Activating signal cointegrator 1 complex subunit 3,,,DNA Damage Reversal R-HSA-73942;DNA Repair R-HSA-73894;Reversal Of Alkylation Damage By DNA Dioxygenases R-HSA-73943
ASCL2,0.182,0.23,stem cell;intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;brush cell of trachebronchial tree;brush cell of bronchus;extravillous trophoblast,,Achaete-scute homolog 2 (ASH-2) (hASH2) (Class A basic helix-loop-helix protein 45) (bHLHa45) (Mash2),,,
ASH2L,5.713,5.882,,,Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein),,Cushing syndrome,Activation Of HOX Genes During Differentiation R-HSA-5619507;Chromatin Modifying Enzymes R-HSA-3247509;Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402;Developmental Biology R-HSA-1266738;Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;PKMTs Methylate Histone Lysines R-HSA-3214841;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;Transcriptional Regulation By RUNX1 R-HSA-8878171
ASIC1,0.317,0.398,,,"Acid-sensing ion channel 1 (ASIC1) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2) (BNaC2)",,Inflammatory mediator regulation of TRP channels,Ion Channel Transport R-HSA-983712;Stimuli-sensing Channels R-HSA-2672351;Transport Of Small Molecules R-HSA-382551
ASXL1,7.207,8.381,renal beta-intercalated cell,,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),,,Deubiquitination R-HSA-5688426;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;UCH Proteinases R-HSA-5689603
ATAD3A,2.293,2.216,,,ATPase family AAA domain-containing protein 3A,,,
ATF1,2.801,2.686,,,Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36),PI3K/AKT/mTOR  Signaling,Aldosterone synthesis and secretion;Transcriptional misregulation in cancer,
ATF2,7.302,6.753,,,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),,"Adrenergic signaling in cardiomyocytes;Alcoholism;Aldosterone synthesis and secretion;Amphetamine addiction;Chemical carcinogenesis;Cocaine addiction;Cortisol synthesis and secretion;Cushing syndrome;Dopaminergic synapse;Estrogen signaling pathway;Glucagon signaling pathway;Growth hormone synthesis, secretion and action;Hepatitis B;Human T-cell leukemia virus 1 infection;Human cytomegalovirus infection;Insulin secretion;Longevity regulating pathway;MAPK signaling pathway;PI3K-Akt signaling pathway;Parathyroid hormone synthesis, secretion and action;Prion disease;Relaxin signaling pathway;TNF signaling pathway;Thermogenesis;Thyroid hormone synthesis;Viral carcinogenesis;cGMP-PKG signaling pathway",
ATG10,1.372,1.118,,,Ubiquitin-like-conjugating enzyme ATG10,KRAS Signaling Up,Autophagy,Autophagy R-HSA-9612973;Macroautophagy R-HSA-1632852
ATG16L1,2.21,2.376,,,Autophagy-related protein 16-1 (APG16-like 1),,Autophagy;NOD-like receptor signaling pathway;Shigellosis,Autophagy R-HSA-9612973;Macroautophagy R-HSA-1632852
ATG5,4.701,4.044,,,Autophagy protein 5 (APG5-like) (Apoptosis-specific protein),,Autophagy;Ferroptosis;Longevity regulating pathway;Mitophagy;NOD-like receptor signaling pathway;RIG-I-like receptor signaling pathway;Shigellosis,Autophagy R-HSA-9612973;DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Macroautophagy R-HSA-1632852;Mitophagy R-HSA-5205647;Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440;PINK1-PRKN Mediated Mitophagy R-HSA-5205685;Receptor Mediated Mitophagy R-HSA-8934903;Selective Autophagy R-HSA-9663891
ATL1,1.164,1.282,,,Atlastin-1,,,
ATL3,12.335,11.606,,,Atlastin-3,,,
ATOH7,0.146,0.09,,,Transcription factor ATOH7 (Atonal bHLH transcription factor 7) (Class A basic helix-loop-helix protein 13) (bHLHa13) (Protein atonal homolog 7),,,
ATP13A2,7.647,8.152,retinal ganglion cell,,Polyamine-transporting ATPase 13A2,,,Ion Channel Transport R-HSA-983712;Ion Transport By P-type ATPases R-HSA-936837;Transport Of Small Molecules R-HSA-382551
ATP2B1,4.903,4.146,,,Plasma membrane calcium-transporting ATPase 1,TNF-alpha Signaling via NF-kB;Inflammatory Response;UV Response Dn,Adrenergic signaling in cardiomyocytes;Aldosterone synthesis and secretion;Calcium signaling pathway;Endocrine and other factor-regulated calcium reabsorption;Mineral absorption;Pancreatic secretion;Salivary secretion;cAMP signaling pathway;cGMP-PKG signaling pathway,Cardiac Conduction R-HSA-5576891;Hemostasis R-HSA-109582;Ion Channel Transport R-HSA-983712;Ion Homeostasis R-HSA-5578775;Ion Transport By P-type ATPases R-HSA-936837;Muscle Contraction R-HSA-397014;Platelet Calcium Homeostasis R-HSA-418360;Platelet Homeostasis R-HSA-418346;Reduction Of Cytosolic Ca++ Levels R-HSA-418359;Sensory Perception R-HSA-9709957;Sensory Processing Of Sound R-HSA-9659379;Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360;Transport Of Small Molecules R-HSA-382551
ATP6V1B1,0.42,0.459,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Protein Secretion;KRAS Signaling Dn,Collecting duct acid secretion;Epithelial cell signaling in Helicobacter pylori infection;Human papillomavirus infection;Oxidative phosphorylation;Phagosome;Rheumatoid arthritis;Synaptic vesicle cycle;Vibrio cholerae infection;mTOR signaling pathway,Amino Acids Regulate mTORC1 R-HSA-9639288;Cellular Response To Starvation R-HSA-9711097;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Insulin Receptor Recycling R-HSA-77387;Ion Channel Transport R-HSA-983712;Iron Uptake And Transport R-HSA-917937;ROS And RNS Production In Phagocytes R-HSA-1222556;Signal Transduction R-HSA-162582;Signaling By Insulin Receptor R-HSA-74752;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Transferrin Endocytosis And Recycling R-HSA-917977;Transport Of Small Molecules R-HSA-382551
ATP6V1H,3.994,4.168,renal beta-intercalated cell;renal alpha-intercalated cell;osteoclast,,V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD),Protein Secretion;Oxidative Phosphorylation,Epithelial cell signaling in Helicobacter pylori infection;Human papillomavirus infection;Lysosome;Oxidative phosphorylation;Phagosome;Rheumatoid arthritis;Synaptic vesicle cycle;Tuberculosis;Vibrio cholerae infection;mTOR signaling pathway,Amino Acids Regulate mTORC1 R-HSA-9639288;Cellular Response To Starvation R-HSA-9711097;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Disease R-HSA-1643685;HIV Infection R-HSA-162906;Host Interactions Of HIV Factors R-HSA-162909;Immune System R-HSA-168256;Infection With Mycobacterium Tuberculosis R-HSA-9635486;Infectious Disease R-HSA-5663205;Innate Immune System R-HSA-168249;Insulin Receptor Recycling R-HSA-77387;Ion Channel Transport R-HSA-983712;Iron Uptake And Transport R-HSA-917937;Nef Mediated CD4 Down-regulation R-HSA-167590;Nef Mediated CD8 Down-regulation R-HSA-182218;Nef-mediated Downmodulation Of Cell Surface Receptors By Recruitment To Clathrin Adapters R-HSA-164938;ROS And RNS Production In Phagocytes R-HSA-1222556;Response Of Mtb To Phagocytosis R-HSA-9637690;Signal Transduction R-HSA-162582;Signaling By Insulin Receptor R-HSA-74752;Signaling By Receptor Tyrosine Kinases R-HSA-9006934;Suppression Of Phagosomal Maturation R-HSA-9637687;Role Of Nef In HIV-1 Replication And Disease Pathogenesis R-HSA-164952;Transferrin Endocytosis And Recycling R-HSA-917977;Transport Of Small Molecules R-HSA-382551
ATP7A,2.574,2.479,pulmonary ionocyte;ionocyte,,Copper-transporting ATPase 1,Hypoxia;Protein Secretion,Mineral absorption,Antimicrobial Peptides R-HSA-6803157;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Detoxification Of Reactive Oxygen Species R-HSA-3299685;Immune System R-HSA-168256;Innate Immune System R-HSA-168249;Ion Channel Transport R-HSA-983712;Ion Transport By P-type ATPases R-HSA-936837;Transport Of Small Molecules R-HSA-382551
ATP7B,0.706,1.014,,,Copper-transporting ATPase 2,,Mineral absorption,Ion Channel Transport R-HSA-983712;Ion Transport By P-type ATPases R-HSA-936837;Transport Of Small Molecules R-HSA-382551
ATPAF1,6.095,5.911,,,ATP synthase mitochondrial F1 complex assembly factor 1 (ATP11 homolog),,,
ATPSCKMT,2.464,1.903,,,ATP synthase subunit C lysine N-methyltransferase,,,
ATR,3.923,3.607,,,Serine/threonine-protein kinase ATR,,Cell cycle;Cellular senescence;Fanconi anemia pathway;Human T-cell leukemia virus 1 infection;Human immunodeficiency virus 1 infection;Human papillomavirus infection;p53 signaling pathway,
ATRX,11.521,10.23,,,Transcriptional regulator ATRX,G2-M Checkpoint;UV Response Dn,,Cell Cycle R-HSA-1640170;Chromosome Maintenance R-HSA-73886;Disease R-HSA-1643685;Diseases Of Mitotic Cell Cycle R-HSA-9675126;Inhibition Of DNA Recombination At Telomere R-HSA-9670095;Telomere Maintenance R-HSA-157579
ATXN1,4.209,5.024,ependymal cell,,Ataxin-1 (Spinocerebellar ataxia type 1 protein),UV Response Dn;Bile Acid Metabolism;Pperoxisome,Notch signaling pathway;Pathways of neurodegeneration;Spinocerebellar ataxia,
ATXN1L,3.495,3.155,,,Ataxin-1-like (Brother of ataxin-1) (Brother of ATXN1),,Notch signaling pathway;Pathways of neurodegeneration;Spinocerebellar ataxia,
ATXN2,7.638,8.796,,,Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein),Cholesterol Homeostasis,Amyotrophic lateral sclerosis;Pathways of neurodegeneration;Spinocerebellar ataxia,
ATXN2L,16.601,20.651,,,Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein),,Amyotrophic lateral sclerosis;Pathways of neurodegeneration;Spinocerebellar ataxia,
ATXN3,6.574,6.332,,,Ataxin-3,,Pathways of neurodegeneration;Protein processing in endoplasmic reticulum;Spinocerebellar ataxia,"Deubiquitination R-HSA-5688426;FOXO-mediated Transcription R-HSA-9614085;FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Josephin Domain DUBs R-HSA-5689877;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;RNA Polymerase II Transcription R-HSA-73857"
ATXN7L2,0.546,0.7,,,Ataxin-7-like protein 2,,,
AUNIP,0.121,0.045,,,Aurora kinase A- and ninein-interacting protein (AIBp),,,
AURKC,0.23,0.202,,,Aurora kinase C,,,
AVPR1B,0.165,0.169,,AVP,Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor),,Calcium signaling pathway;Neuroactive ligand-receptor interaction;Phospholipase D signaling pathway;Vascular smooth muscle contraction,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;G Alpha (Q) Signaling Events R-HSA-416476;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Peptide Ligand-Binding Receptors R-HSA-375276;SLC Transporter Disorders R-HSA-5619102;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Vasopressin-like Receptors R-HSA-388479
AVPR2,0.153,0.292,,AVP,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),,Neuroactive ligand-receptor interaction;Phospholipase D signaling pathway;Vasopressin-regulated water reabsorption,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821;Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851;Aquaporin-mediated Transport R-HSA-445717;Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825;Class A/1 (Rhodopsin-like Receptors) R-HSA-373076;Clathrin-mediated Endocytosis R-HSA-8856828;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;G Alpha (S) Signaling Events R-HSA-418555;GPCR Downstream Signaling R-HSA-388396;GPCR Ligand Binding R-HSA-500792;Infectious Disease R-HSA-5663205;Leishmania Infection R-HSA-9658195;Membrane Trafficking R-HSA-199991;Peptide Ligand-Binding Receptors R-HSA-375276;SLC Transporter Disorders R-HSA-5619102;Signal Transduction R-HSA-162582;Signaling By GPCR R-HSA-372790;Transport Of Small Molecules R-HSA-382551;Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040;Vasopressin-like Receptors R-HSA-388479;Vesicle-mediated Transport R-HSA-5653656
AXIN1,6.194,7.19,,,Axin-1 (Axis inhibition protein 1) (hAxin),Wnt-beta Catenin Signaling,Alzheimer disease;Basal cell carcinoma;Breast cancer;Colorectal cancer;Cushing syndrome;Endometrial cancer;Gastric cancer;Hepatocellular carcinoma;Hippo signaling pathway;Human papillomavirus infection;Pathways in cancer;Pathways of neurodegeneration;Signaling pathways regulating pluripotency of stem cells;Wnt signaling pathway,APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337;Beta-catenin Phosphorylation Cascade R-HSA-196299;CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747;Degradation Of AXIN R-HSA-4641257;Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253;Deubiquitination R-HSA-5688426;Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262;Disease R-HSA-1643685;Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202;ESR-mediated Signaling R-HSA-8939211;Estrogen-dependent Gene Expression R-HSA-9018519;Gene Expression (Transcription) R-HSA-74160;Generic Transcription Pathway R-HSA-212436;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;RNA Polymerase II Transcription R-HSA-73857;RUNX1 Regulates Estrogen Receptor Mediated Transcription R-HSA-8931987;RUNX1 Regulates Transcription Of Genes Involved In WNT Signaling R-HSA-8939256;Signal Transduction R-HSA-162582;Signaling By Nuclear Receptors R-HSA-9006931;Signaling By WNT R-HSA-195721;Signaling By WNT In Cancer R-HSA-4791275;TCF Dependent Signaling In Response To WNT R-HSA-201681;Transcriptional Regulation By RUNX1 R-HSA-8878171;Ub-specific Processing Proteases R-HSA-5689880
AXIN2,1.089,1.71,,,Axin-2 (Axin-like protein) (Axil) (Axis inhibition protein 2) (Conductin),Wnt-beta Catenin Signaling,Alzheimer disease;Basal cell carcinoma;Breast cancer;Colorectal cancer;Cushing syndrome;Endometrial cancer;Gastric cancer;Hepatocellular carcinoma;Hippo signaling pathway;Human papillomavirus infection;Pathways in cancer;Pathways of neurodegeneration;Signaling pathways regulating pluripotency of stem cells;Wnt signaling pathway,Beta-catenin Independent WNT Signaling R-HSA-3858494;Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364;Ca2+ Pathway R-HSA-4086398;Degradation Of AXIN R-HSA-4641257;Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253;Deubiquitination R-HSA-5688426;Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592;Repression Of WNT Target Genes R-HSA-4641265;Signal Transduction R-HSA-162582;Signaling By WNT R-HSA-195721;TCF Dependent Signaling In Response To WNT R-HSA-201681;Ub-specific Processing Proteases R-HSA-5689880
B3GAT1,0.122,0.08,,,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,Glycolysis,Mannose type O-glycan biosynthesis,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475;Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185;Glycosaminoglycan Metabolism R-HSA-1630316;Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387
B4GAT1,5.564,5.516,,,"Beta-1,4-glucuronyltransferase 1",,Mannose type O-glycan biosynthesis,Disease R-HSA-1643685;Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Glycosaminoglycan Metabolism R-HSA-1630316;Keratan Sulfate Biosynthesis R-HSA-2022854;Keratan Sulfate/Keratin Metabolism R-HSA-1638074;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387;Metabolism Of Proteins R-HSA-392499;O-linked Glycosylation R-HSA-5173105;Post-translational Protein Modification R-HSA-597592
BAG6,13.313,14.949,,BAG,Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe),,,Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523;Protein Localization R-HSA-9609507
