subpanel,gene,5K_cell_type,5K_pathway,exclude_recommended,detection_pct_0041323,detection_pct_0041326
03_immune_T_cell,POSTN,glioblast;Schwann cell precursor;neural crest cell;basal cell of epidermis;stem cell of epidermis;lung microvascular endothelial cell;lung endothelial cell;cardiac endothelial cell;endocardial cell;muscle cell;smooth muscle cell;glutamatergic neuron;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung;myofibroblast cell;interstitial cell of ovary;mesenchymal cell,PERIOSTIN,no,1.149,0.464
03_immune_T_cell,POU2F3,basal cell of epidermis;stem cell of epidermis;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;intestinal tuft cell;tuft cell of colon,,no,0.1,0.115
03_immune_T_cell,PPARG,renal beta-intercalated cell;taste receptor cell;alveolar macrophage;lung macrophage;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;papillary tips cell;sebaceous gland cell,DHEAS,no,0.874,0.929
03_immune_T_cell,PPARGC1A,pigmented epithelial cell;pigmented ciliary epithelial cell;epithelial cell of sweat gland;white fat cell,,no,2.556,2.147
03_immune_T_cell,PPP1R1B,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;large intestine goblet cell;colon goblet cell;enteroendocrine cell of colon;intestinal tuft cell;tuft cell of colon;transit amplifying cell of colon;transit amplifying cell of small intestine;tracheobronchial serous cell,,no,7.182,7.356
03_immune_T_cell,PRDM1,"plasmablast;IgA plasmablast;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell;DN1 thymic pro-T cell",,no,0.42,0.903
03_immune_T_cell,PRDM6,tracheobronchial smooth muscle cell;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;bronchus fibroblast of lung,,no,0.287,0.242
03_immune_T_cell,PRG2,basophil;eosinophil;mast cell;promyelocyte;basophil mast progenitor cell;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,no,0.028,0.011
03_immune_T_cell,PRKCH,"kidney capillary endothelial cell;endothelial cell of pericentral hepatic sinusoid;cardiac endothelial cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;DN4 thymocyte;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human",,no,1.409,1.688
03_immune_T_cell,PRKCZ,type I pneumocyte;syncytiotrophoblast cell,,no,3.072,4.046
03_immune_T_cell,PRMT1,"glioblast;Schwann cell precursor;myoepithelial cell;myoepithelial cell of mammary gland;activated CD4-positive, alpha-beta T cell",,no,11.886,12.259
03_immune_T_cell,PRPS2,basal cell of prostate epithelium;decidual cell;double negative thymocyte,,no,6.833,5.034
03_immune_T_cell,PRXL2A,urothelial cell;bladder urothelial cell;granulosa cell;cerebral cortex endothelial cell;ovarian surface epithelial cell;erythroid lineage cell;white fat cell;bladder cell,,no,14.071,10.581
03_immune_T_cell,PSG1,trophoblast giant cell,,no,0.127,0.03
03_immune_T_cell,PSIP1,"glioblast;Schwann cell precursor;neural crest cell;epithelial cell of thymus;cortical thymic epithelial cell;ovarian surface epithelial cell;double-positive, alpha-beta thymocyte;large pre-B-II cell;hematopoietic multipotent progenitor cell;common lymphoid progenitor",,no,1.868,2.515
03_immune_T_cell,PSMA6,"professional antigen presenting cell;dendritic cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;early lymphoid progenitor;common lymphoid progenitor",,no,13.452,13.306
03_immune_T_cell,PSTPIP2,brush cell;intestinal tuft cell;tuft cell of colon;hematopoietic cell;granulocyte;megakaryocyte-erythroid progenitor cell;megakaryocyte,,no,0.76,1.241
03_immune_T_cell,PTGDR,"CD8-positive, alpha-beta cytokine secreting effector T cell;mature NK T cell;type I NK T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;fibroblast",Prostaglandin,no,0.104,0.167
03_immune_T_cell,PTGDR2,"effector memory CD8-positive, alpha-beta T cell;group 2 innate lymphoid cell",Prostaglandin,no,0.117,0.087
03_immune_T_cell,PTGER2,"T-helper 1 cell;T-helper 22 cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;central memory CD8-positive, alpha-beta T cell;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;group 2 innate lymphoid cell;DN1 thymic pro-T cell",Prostaglandin,no,0.367,0.42
03_immune_T_cell,PTGER3,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;fat cell;adipocyte of epicardial fat of left ventricle;kidney cell;kidney collecting duct cell,Prostaglandin,no,1.507,0.88
03_immune_T_cell,PTGER4,"mast cell;mucosal type mast cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;naive regulatory T cell;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;type I NK T cell;DN3 thymocyte;group 2 innate lymphoid cell;group 3 innate lymphoid cell;DN1 thymic pro-T cell",Prostaglandin,no,6.928,3.848
03_immune_T_cell,PTGES,extravillous trophoblast;syncytiotrophoblast cell;fibroblast of mammary gland;fibroblast of breast,,no,0.621,0.342
03_immune_T_cell,PTGS2,colon macrophage;blood cell;granulocyte;mast cell;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,,no,0.18,0.351
03_immune_T_cell,PTPN2,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte",,no,15.918,15.264
03_immune_T_cell,PTPN22,"T cell;alpha-beta T cell;mature alpha-beta T cell;T-helper 1 cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature T cell;intraepithelial lymphocyte;group 3 innate lymphoid cell",,no,0.568,0.494
03_immune_T_cell,PTPRG,ependymal cell;choroid plexus epithelial cell;pigmented epithelial cell;pigmented ciliary epithelial cell;skeletal muscle fibroblast;smooth muscle myoblast;preadipocyte;brown fat cell;subcutaneous fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,no,6.603,5.377
03_immune_T_cell,PVT1,lung goblet cell;cortical cell of adrenal gland;erythroid progenitor cell;proerythroblast;preadipocyte;brown preadipocyte;mesothelial fibroblast,,no,1.088,1.292
03_immune_T_cell,PZP,muscle cell;smooth muscle cell;mast cell;connective tissue cell;fibroblast;fibroblast of lung,,no,0.056,0.051
03_immune_T_cell,RAB27A,intestine goblet cell;small intestine goblet cell;immature neutrophil,,no,3.824,3.798
03_immune_T_cell,RACGAP1,DN4 thymocyte,,no,0.965,0.861
03_immune_T_cell,RAG1,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte;precursor B cell;small pre-B-II cell;pre-B-I cell;late pro-B cell;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;common lymphoid progenitor",,no,0.282,0.219
03_immune_T_cell,RAN,"glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;activated CD4-positive, alpha-beta T cell;primitive red blood cell;fraction A pre-pro B cell",,no,19.777,16.793
03_immune_T_cell,RAP1A,mast cell;mucosal type mast cell,,no,21.61,18.49
03_immune_T_cell,RAPGEF5,epithelial cell;cholangiocyte;lung goblet cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;oligodendrocyte;hepatic stellate cell;renal interstitial pericyte;sebaceous gland cell,,no,5.831,7.214
03_immune_T_cell,RASA1,trophoblast giant cell;syncytiotrophoblast cell,,no,4.865,4.961
03_immune_T_cell,RASGRP1,memory regulatory T cell;DN4 thymocyte,,no,1.337,1.253
03_immune_T_cell,RASSF1,"eosinophil;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;ILC1, human",,no,5.31,5.179
03_immune_T_cell,RBMS3,basal epithelial cell of prostatic duct;neuroendocrine cell;chromaffin cell;skeletal muscle fibroblast;smooth muscle myoblast;visceromotor neuron;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;mesothelial fibroblast;subcutaneous fat cell;adipocyte of epicardial fat of left ventricle;fibro/adipogenic progenitor cell,,no,2.357,4.129
03_immune_T_cell,RBMX,neural crest cell;mesodermal cell;large pre-B-II cell;basophil mast progenitor cell;enteric neuron,,no,19.925,24.039
03_immune_T_cell,RCC1,"T-helper 17 cell;activated CD4-positive, alpha-beta T cell;preadipocyte",,no,3.638,3.931
03_immune_T_cell,RECQL,DN4 thymocyte,,no,5.462,5.184
03_immune_T_cell,RHOA,"pancreatic PP cell;PP cell;mature conventional dendritic cell;myeloid leukocyte;mast cell;mucosal type mast cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;myeloid cell",,no,29.58,26.558
03_immune_T_cell,RHOH,hematopoietic cell;leukocyte;IgG memory B cell;IgG-negative class switched memory B cell;B-1a B cell;B-1b B cell;germinal center B cell;mast cell;mononuclear cell;lymphocyte;double negative thymocyte;DN4 thymocyte;pre-B-I cell;group 2 innate lymphoid cell;early T lineage precursor,,no,0.199,0.26
03_immune_T_cell,RNASEH2B,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;large pre-B-II cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,no,6.463,7.646
03_immune_T_cell,RNF167,alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell,,no,10.551,10.534
03_immune_T_cell,ROCK2,subcutaneous fat cell;adipocyte of breast;adipocyte of epicardial fat of left ventricle,,no,3.66,3.015
03_immune_T_cell,ROR2,ependymal cell;choroid plexus epithelial cell;basal epithelial cell of prostatic duct;pigmented ciliary epithelial cell;alveolar type 2 fibroblast cell;mesothelial fibroblast;mesangial cell,,no,0.877,0.772
03_immune_T_cell,RRM2,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;precursor B cell;pro-B cell;fraction A pre-pro B cell",,no,0.617,0.402
03_immune_T_cell,RSAD2,"activated CD4-positive, alpha-beta T cell, human",,no,0.521,0.391
03_immune_T_cell,RTKN2,"epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;regulatory T cell;intraepithelial lymphocyte;DN3 thymocyte",,no,0.288,0.135
03_immune_T_cell,RTN4,hematopoietic cell;leukocyte;myeloid leukocyte;myeloid cell;radial glial cell;Mueller cell;retinal ganglion cell;brown fat cell,,no,17.319,11.124
03_immune_T_cell,RUNX1,duct epithelial cell;luminal epithelial cell of mammary gland;cholangiocyte;lung goblet cell;mammary gland epithelial cell;tissue-resident macrophage;Kupffer cell;mature microglial cell;immature innate lymphoid cell;preadipocyte;brown preadipocyte;mesothelial fibroblast;brown fat cell,,no,2.308,2.506
03_immune_T_cell,S1PR1,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;pulmonary interstitial fibroblast;fibroblast of lung;bronchus fibroblast of lung,,no,1.464,1.826
03_immune_T_cell,S1PR5,"lymphocyte;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD8-positive, alpha-beta T cell;effector CD8-positive, alpha-beta T cell;mature NK T cell;type I NK T cell;mucosal invariant T cell;gamma-delta T cell;mature gamma-delta T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human",,no,0.385,0.503
03_immune_T_cell,SAMD9,"respiratory basal cell;basal cell of epithelium of bronchus;basal epithelial cell of tracheobronchial tree;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,no,1.081,0.9
03_immune_T_cell,SAMHD1,"CD14-positive, CD16-negative classical monocyte;dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;CD141-positive myeloid dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;liver dendritic cell;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;myeloid cell;promonocyte;Schwann cell",,no,11.329,14.647
03_immune_T_cell,SATB1,"liver dendritic cell;T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;early T lineage precursor;common lymphoid progenitor",,no,8.1,7.843
03_immune_T_cell,SCIN,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;renal principal cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney loop of Henle thin ascending limb epithelial cell;kidney connecting tubule epithelial cell;microglial cell;kidney collecting duct cell,,no,0.519,0.663
03_immune_T_cell,SCN7A,skeletal muscle fibroblast;smooth muscle myoblast;Schwann cell;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;fibroblast of lung;bronchus fibroblast of lung;pericyte,,no,1.008,1.117
03_immune_T_cell,SCNN1A,pulmonary ionocyte;small intestine goblet cell;ionocyte;serous cell of epithelium of trachea,,no,6.872,8.356
03_immune_T_cell,SCNN1G,duct epithelial cell;kidney collecting duct epithelial cell;kidney collecting duct principal cell;basal epithelial cell of prostatic duct;renal principal cell;pulmonary ionocyte;lung goblet cell;taste receptor cell;epithelial cell of prostate;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;ionocyte;kidney collecting duct cell,,no,1.926,1.703
03_immune_T_cell,SELENBP1,intestinal crypt stem cell;intestinal crypt stem cell of large intestine;intestinal crypt stem cell of colon;enterocyte of epithelium of large intestine;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;respiratory goblet cell;tracheal goblet cell;erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte;erythroblast;primitive red blood cell;transit amplifying cell of colon,,no,3.131,3.548
